Genome	Downdb name	Fieldname Prefix	dbtype	Type	Done		
hg18 	avsift 	avsift 	avsift 	variant_other	0	whole-exome SIFT scores for non-synonymous variants 	"file updated 2011Mar01, index updated 2012Feb22"
hg19 	avsift 	avsift 	avsift 	variant_other	0	same as above 	"file updated 2011Mar01, index updated 2012Feb22"
hg18 	ljb_sift 	ljb_sift 	ljb_sift 	variant_other	0	whole-exome LJBSIFT scores (which corresponds to 1-SIFT !!!!!) 	file and index updated 2012Feb22
hg19 	ljb_sift 	ljb_sift 	ljb_sift 	variant_other	0	same as above 	file and index updated 2012Feb22
hg18 	ljb2_sift 	ljb2_sift 	ljb2_sift 	variant_other	0	whole-exome SIFT scores (version 2) 	file and index updated 2013Jun21
hg18 	ljb_pp2 	ljb_pp2 	ljb_pp2 	variant_other	0	whole-exome PolyPhen scores 	"file updated 2011May11, index updated 2012Feb22"
hg19 	ljb_pp2 	ljb_pp2 	ljb_pp2 	variant_other	0	same as above 	"file updated 2011May11, index updated 2012Feb22"
hg18 	ljb2_pp2hdiv 	ljb2_pp2hdiv 	ljb2_pp2hdiv 	variant_other	0	whole-exome PolyPhen scores built on HumanDiv database (for complex phenotypes) 	file and index updated 2013Jun21
hg19 	ljb2_pp2hdiv 	ljb2_pp2hdiv 	ljb2_pp2hdiv 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb2_pp2hvar 	ljb2_pp2hvar 	ljb2_pp2hvar 	variant_other	0	whole-exome PolyPhen version 2 scores built on HumanVar database (for Mendelian phenotypes) 	file and index updated 2013Jun21
hg19 	ljb2_pp2hvar 	ljb2_pp2hvar 	ljb2_pp2hvar 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb_phylop 	ljb_phylop 	ljb_phylop 	variant_other	0	whole-exome PhyloP scores 	"file updated 2011May11, index updated 2012Feb22"
hg19 	ljb_phylop 	ljb_phylop 	ljb_phylop 	variant_other	0	same as above 	"file updated 2011May11, index updated 2012Feb22"
hg18 	ljb2_phylop 	ljb2_phylop 	ljb2_phylop 	variant_other	0	whole-exome PhyloP scores (version 2) 	file and index updated 2013Jun21
hg19 	ljb2_phylop 	ljb2_phylop 	ljb2_phylop 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb_lrt 	ljb_lrt 	ljb_lrt 	variant_other	0	whole-exome LRT scores 	"file updated 2011May11, index updated 2012Feb22"
hg19 	ljb_lrt 	ljb_lrt 	ljb_lrt 	variant_other	0	same as above 	"file updated 2011May11, index updated 2012Feb22"
hg18 	ljb2_lrt 	ljb2_lrt 	ljb2_lrt 	variant_other	0	whole-exome LRT scores (version 2) 	file and index updated 2013Jun21
hg19 	ljb2_lrt 	ljb2_lrt 	ljb2_lrt 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb_mt 	ljb_mt 	ljb_mt 	variant_other	0	whole-exome MutationTaster scores 	"file updated 2011May11, index updated 2012Feb22"
hg19 	ljb_mt 	ljb_mt 	ljb_mt 	variant_other	0	same as above 	"file updated 2011May11, index updated 2012Feb22"
hg18 	ljb2_mt 	ljb2_mt 	ljb2_mt 	variant_other	0	whole-exome MutationTaster scores (version 2) 	file and index updated 2013Jun21
hg19 	ljb2_mt 	ljb2_mt 	ljb2_mt 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb2_ma 	ljb2_ma 	ljb2_ma 	variant_other	0	whole-exome MutationAssessor scores (version 2) 	file and index updated 2013Jun21
hg19 	ljb2_ma 	ljb2_ma 	ljb2_ma 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb2_fathmm 	ljb2_fathmm 	ljb2_fathmm 	variant_other	0	whole-exome FATHMM scores 	file and index updated 2013Jun21
hg19 	ljb2_fathmm 	ljb2_fathmm 	ljb2_fathmm 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb2_siphy 	ljb2_siphy 	ljb2_siphy 	variant_other	0	whole-exome SiPhy scores 	file and index updated 2013Jun21
hg19 	ljb2_siphy 	ljb2_siphy 	ljb2_siphy 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb_gerp++ 	ljb_gerp++ 	ljb_gerp++ 	variant_other	0	whole-exome GERP++ scores 	file and index updated 2012Feb22
hg19 	ljb_gerp++ 	ljb_gerp++ 	ljb_gerp++ 	variant_other	0	same as above 	file and index updated 2012Feb22
hg18 	ljb2_gerp++ 	ljb2_gerp++ 	ljb2_gerp++ 	variant_other	0	whole-exome GERP++ scores (version 2) 	file and index updated 2013Jun21
hg19 	ljb2_gerp++ 	ljb2_gerp++ 	ljb2_gerp++ 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	ljb_all 	ljb_all 	ljb_all 	variant_other	0	"whole-exome LJBSIFT, PolyPhen, PhyloP, LRT, MutationTaster, GERP++ scores "	file and index updated 2012Feb22
hg19 	ljb_all 	ljb_all 	ljb_all 	variant_other	0	same as above 	file and index updated 2012Feb22
hg18 	ljb2_all 	ljb2_all 	ljb2_all 	variant_other	0	"whole-exome SIFT scores, PolyPhen2 HDIV scores, PolyPhen2 HVAR scores, LRT scores, MutationTaster scores, MutationAssessor score, FATHMM scores, GERP++ scores, PhyloP scores and SiPhy scores "	file and index updated 2013Jun21
hg19 	ljb2_all 	ljb2_all 	ljb2_all 	variant_other	0	same as above 	file and index updated 2013Jun21
hg18 	cg46 	cg46 	cg46 	variant_other	0	alternative allele frequency in 46 unrelated human subjects sequenced by Complete Genomics 	index updated 2012Feb22
hg19 	cg46 	cg46 	cg46 	variant_other	0	same as above 	index updated 2012Feb22
hg18 	cg69 	cg69 	cg69 	variant_other	0	allele frequency in 69 human subjects sequenced by Complete Genomics 	index updated 2012Feb22
hg19 	cg69 	cg69 	cg69 	variant_other	0	same as above 	index updated 2012Feb22
hg19 	cosmic64 	cosmic64 	cosmic64 	variant_other	0	"COSMIC database version 64 (previously observed cancer mutations, their identifiers in COSMIC, how many times are observed, and in which cancer tissues are observed). Including non-coding variants. "	file and index updated 20130520
hg19 	cosmic65 	cosmic65 	cosmic65 	variant_other	0	COSMIC database version 65. 	file and index updated 20130706
hg18 	esp5400_aa 	esp5400_aa 	esp5400_aa 	variant_other	0	alternative allele frequency in African Americans in the NHLBI-ESP project with 5400 exomes 	file and index updated 2012Jul11
hg19 	esp5400_aa 	esp5400_aa 	esp5400_aa 	variant_other	0	same as above 	file and index updated 2012Jul11
hg18 	esp5400_ea 	esp5400_ea 	esp5400_ea 	variant_other	0	alternative allele frequency in European Americans in the NHLBI-ESP project with 5400 exomes 	file and index updated 2012Jul11
hg19 	esp5400_ea 	esp5400_ea 	esp5400_ea 	variant_other	0	same as above 	file and index updated 2012Jul11
hg18 	esp5400_all 	esp5400_all 	esp5400_all 	variant_other	0	alternative allele frequency in all subjects in the NHLBI-ESP project with 5400 exomes 	file and index updated 2012Jul11
hg19 	esp5400_all 	esp5400_all 	esp5400_all 	variant_other	0	same as above 	file and index updated 2012Jul11
hg18 	esp6500_aa 	esp6500_aa 	esp6500_aa 	variant_other	0	alternative allele frequency in African Americans in the NHLBI-ESP project with 6500 exomes 	index updated 2012Jun21
hg19 	esp6500_aa 	esp6500_aa 	esp6500_aa 	variant_other	0	same as above 	index updated 2012Jun21
hg18 	esp6500_ea 	esp6500_ea 	esp6500_ea 	variant_other	0	alternative allele frequency in European Americans in the NHLBI-ESP project with 6500 exomes 	index updated 2012Jun21
hg19 	esp6500_ea 	esp6500_ea 	esp6500_ea 	variant_other	0	same as above 	index updated 2012Jun21
hg18 	esp6500_all 	esp6500_all 	esp6500_all 	variant_other	0	alternative allele frequency in all subjects in the NHLBI-ESP project with 6500 exomes 	index updated 2012Jun21
